classification,symbol,trades,net_pnl,avg_pnl,win_rate
Extreme Greed,ZK,4,0.0,0.0,0.0
Extreme Greed,kBONK,46,1985.1070129999998,43.154500282608694,0.717391304347826
Extreme Greed,kPEPE,63,-445.0402710000001,-7.064131285714287,0.30158730158730157
Extreme Greed,kSHIB,10,-39.824881999999995,-3.9824881999999997,0.4
Fear,@1,2,17.328997,8.6644985,0.5
Fear,@10,1,0.0,0.0,0.0
Fear,@107,1456,66950.34187,45.982377657967035,0.3557692307692308
Fear,@13,1,0.0,0.0,0.0
Fear,@142,12,83.780546,6.981712166666667,0.3333333333333333
Fear,@16,1,0.0,0.0,0.0
Fear,@23,9,0.0,0.0,0.0
Fear,@26,1,0.0,0.0,0.0
Fear,@29,1,0.0,0.0,0.0
Fear,@35,1,0.0,0.0,0.0
Fear,@37,1,10.17704,10.17704,1.0
Fear,@38,1,0.0,0.0,0.0
Fear,@39,1,0.0,0.0,0.0
Fear,@4,47,182.202642,3.8766519574468083,0.3404255319148936
Fear,@40,1,0.0,0.0,0.0
Fear,@41,1,0.0,0.0,0.0
Fear,@44,1,0.0,0.0,0.0
Fear,@47,1,0.0,0.0,0.0
Fear,@49,1,0.0,0.0,0.0
Fear,@51,20,0.0,0.0,0.0
Fear,@59,13,0.0,0.0,0.0
Fear,@74,2,0.0,0.0,0.0
Fear,@78,3,0.0,0.0,0.0
Fear,@8,20,111.74482900000001,5.5872414500000005,0.25
Fear,@85,41,0.0,0.0,0.0
Fear,AAVE,37,346.408448,9.362390486486486,0.24324324324324326
Fear,ADA,97,3748.188802,38.6411216701031,0.5567010309278351
Fear,AI16Z,23,327.237482,14.227716608695653,0.5652173913043478
Fear,AIXBT,48,530.73897,11.057061875,0.625
Fear,APE,9,28.01404,3.112671111111111,0.3333333333333333
Fear,APT,5,674.1,134.82,1.0
Fear,ARB,58,365.753917,6.306102017241379,0.22413793103448276
Fear,ATOM,8,3.111853,0.388981625,0.5
Fear,AVAX,21,45.272478,2.1558322857142858,0.5714285714285714
Fear,BIO,8,36.105776,4.513222,0.875
Fear,BLAST,42,302.333602,7.198419095238095,0.2857142857142857
Fear,BLUR,6,126.443496,21.073916,0.5
Fear,BNB,5,-8.937,-1.7873999999999999,0.0
Fear,BRETT,1,6.923826,6.923826,1.0
Fear,BTC,988,53507.79829,54.15769057692307,0.3188259109311741
Fear,CHILLGUY,12,495.31116299999996,41.275930249999995,0.75
Fear,CRV,32,145.367716,4.542741125,0.59375
Fear,DOGE,72,1944.34562,27.00480027777778,0.06944444444444445
Fear,DOT,11,26.496538,2.408776181818182,0.8181818181818182
Fear,DYDX,51,412.325778,8.084819176470589,0.3137254901960784
Fear,EIGEN,31,263.113986,8.487547935483871,0.41935483870967744
Fear,ENA,99,160031.334545,1616.4781267171716,0.7777777777777778
Fear,ENS,4,-7.121359999999999,-1.7803399999999998,0.0
Fear,ETH,2226,304967.315379,137.00238786118598,0.367026055705301
Fear,ETHFI,12,274.216268,22.851355666666667,0.5833333333333334
Fear,FARTCOIN,93,698.367573,7.509328741935484,0.22580645161290322
Fear,FTT,118,574.549737,4.869065567796611,0.3728813559322034
Fear,GRASS,39,-626.600548,-16.066680717948717,0.3333333333333333
Fear,GRIFFAIN,102,1457.773093,14.29189306862745,0.7156862745098039
Fear,HBAR,30,202.209596,6.740319866666667,0.3333333333333333
Fear,HYPE,4165,249124.84881599998,59.81388927154862,0.32797118847539014
Fear,ILV,18,-279.0688,-15.503822222222222,0.0
Fear,IMX,16,17.272028,1.07950175,0.5625
Fear,INJ,22,32.682104,1.485550181818182,0.7272727272727273
Fear,IO,4,0.0,0.0,0.0
Fear,IP,39,-573.142834,-14.695970102564102,0.0
Fear,JTO,4,22.476,5.619,0.25
Fear,JUP,135,1732.248652,12.831471496296297,0.5407407407407407
Fear,KAITO,4,0.0,0.0,0.0
Fear,LDO,10,19.189546,1.9189546,0.7
Fear,LINK,51,502.67816300000004,9.856434568627451,0.5294117647058824
Fear,LTC,6,0.0,0.0,0.0
Fear,MANTA,15,1221.761736,81.4507824,0.8666666666666667
Fear,ME,126,13770.715332,109.29139152380952,0.7619047619047619
Fear,MELANIA,127,11744.81917,92.47889110236221,0.15748031496062992
